FSA,City
X0A,Outer Nunavut
X0B,Central Nunavut
X0C,Inner Nunavut
X0E,Central Northwest Territories
X1A,Yellowknife
T0A,Eastern Alberta
T0B,Wainwright Region
T0C,Central Alberta
T0E,Western Alberta
T0G,North Central Alberta
T0H,Northwestern Alberta
T0J,Southeastern Alberta
T0K,International Border Region
T0L,Kananaskis Country
T0M,Central Foothills
T0P,Northeastern Alberta
T0V,Remote Northeast
T1A,Medicine Hat Central
T1B,Medicine Hat South
T1C,Medicine Hat North
T1G,Taber
T1H,Lethbridge North
T1J,Lethbridge West and Central
T1K,Lethbridge Southeast
T1L,Banff
T1M,Coaldale
T1P,Strathmore
T1R,Brooks
T1S,Okotoks
T1V,High River
T1W,Canmore
T1X,Chestermere
T1Y,Calgary
T2A,Calgary
T2B,Calgary
T2C,Calgary
T2E,Calgary
T2G,Calgary
T2H,Calgary
T2J,Calgary
T2K,Calgary
T2L,Calgary
T2M,Calgary
T2N,Calgary
T2P,Calgary
T2R,Calgary
T2S,Calgary
T2T,Calgary South
T2V,Calgary
T2W,Calgary
T2X,Calgary
T2Y,Calgary
T2Z,Calgary
T3A,Calgary
T3B,Calgary
T3C,Calgary
T3E,Calgary
T3G,Calgary
T3H,Calgary
T3J,Calgary
T3K,Calgary
T3L,Calgary
T3M,Calgary
T3N,Calgary Northeast
T3P,Calgary
T3R,Calgary Northwest
T3Z,Redwood Meadows
T4A,Airdrie East
T4B,Airdrie West
T4C,Cochrane
T4E,Red Deer County
T4G,Innisfail
T4H,Olds
T4J,Ponoka
T4L,Lacombe
T4N,Red Deer Central
T4P,Red Deer North
T4R,Red Deer South
T4S,Sylvan Lake
T4T,Rocky Mountain House
T4V,Camrose
T4X,Beaumont
T5A,Edmonton
T5B,Edmonton
T5C,Edmonton
T5E,Edmonton
T5G,Edmonton
T5H,Edmonton
T5J,Edmonton
T5K,Edmonton
T5L,Edmonton
T5M,Edmonton
T5N,Edmonton
T5P,Edmonton
T5R,Edmonton
T5S,Edmonton
T5T,Edmonton West
T5V,Edmonton
T5W,Edmonton
T5X,Edmonton
T5Y,Edmonton
T5Z,Edmonton
T6A,Edmonton
T6B,Edmonton
T6C,Edmonton
T6E,Edmonton
T6G,Edmonton
T6H,Edmonton
T6J,Edmonton
T6K,Edmonton
T6L,Edmonton
T6M,Edmonton Southwest
T6N,Edmonton
T6P,Edmonton
T6R,Edmonton
T6S,Edmonton
T6T,Edmonton
T6V,Edmonton
T6W,Edmonton
T6X,Edmonton
T7A,Drayton Valley
T7E,Edson
T7N,Barrhead
T7P,Westlock
T7S,Whitecourt
T7V,Hinton
T7X,Spruce Grove North
T7Y,Spruce Grove South
T7Z,Stony Plain
T8A,Sherwood Park West
T8B,Sherwood Park Outer Southwest
T8C,Sherwood Park Inner Southwest
T8E,Sherwood Park Central
T8G,Sherwood Park East
T8H,Sherwood Park Northwest
T8L,Fort Saskatchewan
T8N,St. Albert
T8R,Morinville
T8S,Peace River
T8V,Grande Prairie Central
T8W,Grande Prairie South
T8X,Grande Prairie East
T9A,Wetaskiwin
T9C,Vegreville
T9E,Leduc
T9G,Devon
T9H,Fort McMurray Outer Central
T9J,Fort McMurray Inner Central
T9K,Fort McMurray Northwest
T9M,Cold Lake
T9N,Bonnyville
T9S,Athabas
T9V,Lloydminster
T9W,Wainwright
T9X,Vermilion
V0A,Upper Columbia Region
V0B,East Kootenays
V0C,Northern British Columbia
V0E,Central Okanagan and High Country
V0G,West Kootenays
V0H,South Okanagan
V0J,Omineca and Yellowhead
V0K,Cariboo and West Okanagan
V0L,Chilcotin
V0M,Harrison Lake Region
V0N,North Island, Sunshine Coast, and Southern Gulf Islands
V0P,North Central Island and Bute Inlet Region
V0R,Central Island
V0S,Juan de Fuca Shore
V0T,Inside Passage and the Queen Charlottes
V0V,Lower Skeena
V0W,Atlin Region
V0X,Similkameen
V1A,Kimberley
V1B,Vernon East
V1C,Cranbrook
V1E,Salmon Arm
V1G,Dawson Creek
V1H,Vernon West
V1J,Fort St. John
V1K,Merritt
V1L,Nelson
V1M,Langley Township North
V1N,Castlegar
V1P,Kelowna East
V1R,Trail
V1S,Kamloops Southwest
V1T,Vernon Central
V1V,Kelowna North
V1W,Kelowna Southwest
V1X,Kelowna East Central
V1Y,Kelowna Central
V1Z,Kelowna West
V2A,Penticton
V2B,Kamloops Northwest
V2C,Kamloops Central and Southeast
V2E,Kamloops South and West
V2G,Williams Lake
V2H,Kamloops North
V2J,Quesnel
V2K,Prince George North
V2L,Prince George East Central
V2M,Prince George West Central
V2N,Prince George South
V2P,Chilliwack Central
V2R,Chilliwack West
V2S,Abbotsford Southeast
V2T,Abbotsford Southwest
V2V,Mission East
V2W,Maple Ridge East
V2X,Maple Ridge West
V2Y,Langley Township Northwest
V2Z,Langley Township Southwest
V3A,Langley City
V3B,Port Coquitlam Central
V3C,Port Coquitlam South
