slug,city_name,service_area
calgary,"Calgary AB","Calgary, Edmonton, Grand Prairie, Lethbridge, Red Deer, Ft. McMurray"
saintjohn,"Saint John, New Brunswick","Edmunston, Grand Falls,Charlottetown, Summerside, Miramchi, Campbellton, Bathurst, Moncton, Saint John, Fredericton"
vancouver,"Vancouver BC","Surrey, Langley, Abbotsford, Chiliwack, Maple Ridge, Pitt Meadows, Coquitlam, Kewlona, Kamloops"
toronto,"Toronto, ON","Toronto, Vaughan, Barrie,Newmarket, Aurora, Sudbury, Northbay, Missasauga, Brampton"
london,"London, ON","London, Hamilton, Kitchener, Warerloo, Brantford, Niagara Falls, St. Catherines, Burlington"
saintjohns,"Saint John's, NL","St. Johns, Gander, Corner Brook, Deer Lake, Grand Falls Windsor, Mount Pearl, CBS, Paradise"
winnipeg,"Winnipeg MB","Winnipeg, Brandon, Saskatoom, Regina"
halifaz,"Halifax NS","Halifax, Dartmouth, Sackville, Bedford, Windsor, Yarmouth, Sydney, New Glascow, Truro, Bridgewater"
chatham,"Chatham ON","Chatham, Windsor, Sarnia, London, Chatham-Kent, Leamington, Harrow, Wallaceburg, Port Lambton, Glencoe"
edmonton,"Edmonton AB","Calgary, Edmonton, Grand Prairie, Lethbridge, Red Deer, Ft. McMurray"
reading,Pottstown,"Reading, Wyomissing, King of Prussia, Phoenixville, Norristown, Pottstown, Chester Springs, Spring City, Kutztown, Collegeville"
reading,Reading,"Reading, Wyomissing, King of Prussia, Phoenixville, Norristown, Pottstown, Chester Springs, Spring City, Kutztown, Collegeville"
pottsville,Pottsville,"Pottsville, Lehighton, Jim Thorpe, Orwigsburg, Auburn, Schuylkill Haven, Millersburg, Elizabethville, Pine Grove, Frackville"
york,York,"York, Gettysburg, Shrewsbury, Dover, Seven Valleys, Wellville, New Freedom"
allentown,Allentown,"Allentown, Bethlehem"
stroudsburg,Stroudsburg,East Stroudsburg
wilkesbarre,Wilkes Barre,"Wilkes Barre, Scranton, Hazelton, Clark's Summit, Moscow, Mountain Top, Dallas"
williamsport,Williamsport,"Williamsport, Corning, Elmira, Sayre, Towanda, Horseheads, Muncy, Lock Haven, Wellsboro, Mansfield, Hugeville"
